ID;TIME;SATISFACAO;ATIVIDADE;COMUNICACAO
Dev_102;docfx;0.2504646840148697;0.0940572626493944;0.0682317408017572
Dev_106;interactive;0.2012937781256113;0.092035410329152;0.1943986820428336
Dev_107;INDEFINIDO;0.123646355261031;0.0920174264673017;0.1990664470071389
Dev_109;arcade;0.1189221443055085;0.0909184126875619;0.350768808347062
Dev_115;efcore;0.2091852540272613;0.0886559268418806;0.2405271828665568
Dev_118;aspire;0.1915391764369459;0.0863403426851896;0.2224052718286656
Dev_119;tye;0.1124970957249069;0.0847282228875577;0.1057111477210324
Dev_121;INDEFINIDO;0.1924227462825277;0.084053144790746;0.1526633717737507
Dev_123;fsharp;0.1247344662772171;0.082857998789631;0.1696869851729819
Dev_129;roslyn;0.1751736450792408;0.0815804764671702;0.3828940142778693
Dev_131;INDEFINIDO;0.2209572490706317;0.0808369832534989;0.2902251510159253
Dev_134;arcade;0.1149047397769515;0.0802842054892846;0.1803953871499176
Dev_138;efcore;0.2639762653703173;0.0792938442082236;0.4476935749588138
Dev_140;aspnetcore;0.2103082403965303;0.0787959576625536;0.3220757825370675
Dev_141;install-scripts;0.2136384758364312;0.0784940356154082;0.0941790225151015
Dev_145;core;0.1686222118959107;0.0778415111224353;0.0750961010433827
Dev_146;arcade;0.1605803743109858;0.0773347688872178;0.2954420647995606
Dev_147;roslyn;0.1452982426495437;0.0762253477800184;0.1823174080175727
Dev_148;project-system;0.2728469640644361;0.0760728561165488;0.1140856672158154
Dev_156;INDEFINIDO;0.1167750929368028;0.0729376730355128;0.1641954969796815
Dev_157;maui;0.1387081784386616;0.0729261373346549;0.0656232839099395
Dev_162;maui;0.1472467472118958;0.0720853129165669;0.1449752883031301
Dev_166;INDEFINIDO;0.1752233481232759;0.0714358956830843;0.2924217462932454
Dev_169;runtime;0.1997883106154479;0.0711401214975378;0.3390993959362987
Dev_171;INDEFINIDO;0.1175360130111524;0.0709340732753933;0.1655683690280066
Dev_173;roslyn;0.2243172719473833;0.0703831561677547;0.3500823723228995
Dev_176;winforms;0.1836663568773233;0.0696839794253174;0.1101043382756727
Dev_177;csharplang;0.2397658877677463;0.0695853439204172;0.221718835804503
Dev_179;project-system;0.1775986559908491;0.068430021630965;0.3694398682042834
Dev_183;docs;0.1739577801380774;0.0670070830744162;0.1644700713893465
Dev_185;aspnetcore;0.2178851714167698;0.0664421010945803;0.1479956068094453
Dev_186;docs;0.249547544511837;0.0663208980915308;0.3183690280065898
Dev_188;AspNetCore.Docs;0.2337028677642059;0.0662405578152237;0.0591707852828116
Dev_193;arcade;0.0979708798017347;0.0658634768409435;0.0933552992861065
Dev_194;install-scripts;0.1297759190417181;0.065494418866116;0.0774299835255354
Dev_195;maui;0.2970105328376703;0.0654730647211079;0.1372872048325096
Dev_196;runtime;0.1252323420074348;0.065420241309772;0.0689181768259198
Dev_197;runtime;0.1752522570366436;0.0652757093540495;0.1585667215815486
Dev_198;maintenance-packages;0.1192172655927302;0.0652518927732054;0.2067545304777595
Dev_199;maintenance-packages;0.182574349442379;0.0651272711292535;0.2254255903349808
